itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
9136,90027.9252,9.8890,0.6170,0.5227,576.0,18.0000,3.0844,5.1369,4.2925
9137,90037.5266,9.6014,0.6251,0.5306,576.0,18.0000,3.2869,5.1518,4.2992
9138,90047.3230,9.7964,0.6135,0.5192,576.0,18.0000,3.1786,5.1348,4.2934
9139,90057.0099,9.6869,0.6132,0.5190,576.0,18.0000,3.2497,5.1104,4.3092
9140,90066.9588,9.9488,0.6145,0.5203,576.0,18.0000,3.6871,5.1123,4.3058
9141,90076.8311,9.8723,0.6212,0.5265,576.0,18.0000,4.4389,5.1623,4.3090
9142,90086.6285,9.7974,0.6036,0.5097,576.0,18.0000,4.9355,5.0771,4.3087
9143,90096.5092,9.8807,0.6119,0.5178,576.0,18.0000,5.2606,5.1134,4.3041
9144,90106.3512,9.8420,0.6152,0.5207,576.0,18.0000,4.7964,5.1492,4.2985
9145,90116.3229,9.9717,0.6162,0.5218,576.0,18.0000,4.0270,5.1135,4.3280
9146,90126.1197,9.7968,0.6333,0.5399,576.0,18.0000,4.3481,5.0699,4.2769
9147,90135.9973,9.8776,0.6134,0.5198,576.0,18.0000,4.6636,5.0882,4.2652
9148,90145.8575,9.8602,0.6198,0.5247,576.0,18.0000,4.0324,5.1536,4.3481
9149,90155.7692,9.9117,0.6165,0.5224,576.0,18.0000,3.2234,5.1223,4.2890
9150,90165.6415,9.8723,0.6088,0.5146,576.0,18.0000,3.1093,5.1156,4.3002
9151,90175.4717,9.8302,0.6128,0.5181,576.0,18.0000,3.9994,5.1301,4.3418
9152,90185.2316,9.7600,0.6029,0.5090,576.0,18.0000,4.3269,5.0896,4.2986
9153,90195.1589,9.9273,0.6075,0.5131,576.0,18.0000,4.1051,5.1285,4.3086
9154,90205.0283,9.8693,0.6132,0.5185,576.0,18.0000,3.6001,5.1371,4.3338
9155,90214.7601,9.7318,0.6098,0.5153,576.0,18.0000,3.4280,5.1528,4.2969
9156,90224.7161,9.9561,0.6069,0.5125,576.0,18.0000,3.6257,5.1384,4.3075
9157,90234.5419,9.8258,0.6145,0.5206,576.0,18.0000,3.5414,5.0819,4.3143
9158,90244.3473,9.8054,0.6106,0.5155,576.0,18.0000,3.3095,5.1813,4.3231
9159,90254.3776,10.0303,0.6087,0.5139,576.0,18.0000,3.2261,5.1763,4.3004
9160,90264.2729,9.8952,0.6053,0.5109,576.0,18.0000,3.4116,5.1136,4.3260
9161,90273.9099,9.6370,0.6158,0.5215,576.0,18.0000,3.1764,5.1351,4.2986
9162,90283.7838,9.8740,0.6083,0.5139,576.0,18.0000,2.6081,5.1468,4.3008
9163,90293.6088,9.8250,0.6188,0.5236,576.0,18.0000,2.6768,5.1859,4.3374
9164,90303.5282,9.9194,0.6130,0.5192,576.0,18.0000,2.6988,5.1037,4.2836
9165,90313.4300,9.9018,0.6130,0.5178,576.0,18.0000,2.9309,5.2005,4.3172
9166,90323.0168,9.5868,0.6231,0.5282,576.0,18.0000,3.1232,5.1638,4.3192
9167,90332.8636,9.8468,0.6101,0.5161,576.0,18.0000,3.1350,5.1014,4.2986
9168,90342.8001,9.9365,0.6198,0.5253,576.0,18.0000,3.6428,5.1536,4.3029
9169,90352.7857,9.9856,0.6143,0.5203,576.0,18.0000,3.8537,5.0986,4.3063
