itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
674,2500.2898,3.6234,1.8504,1.7906,320.0,10.0000,9.2570,5.7446,0.2413
675,2504.0013,3.7115,1.8593,1.7951,320.0,10.0000,1.1712,6.1452,0.2747
676,2507.8058,3.8045,1.8076,1.7386,320.0,10.0000,6.9860,6.5954,0.3046
677,2511.4786,3.6728,1.8603,1.7914,320.0,10.0000,7.0909,6.5841,0.3079
678,2515.1614,3.6827,1.8787,1.8148,320.0,10.0000,1.3398,6.1148,0.2790
679,2518.7875,3.6261,1.7811,1.7210,320.0,10.0000,7.7474,5.7571,0.2521
680,2522.4507,3.6632,1.8614,1.8003,320.0,10.0000,6.2290,5.8452,0.2690
681,2526.2112,3.7605,1.8093,1.7430,320.0,10.0000,3.2261,6.3303,0.2978
682,2529.9073,3.6961,1.8194,1.7508,320.0,10.0000,6.4571,6.5515,0.3096
683,2533.6708,3.7635,1.7987,1.7330,320.0,10.0000,2.0051,6.2753,0.2922
684,2537.3648,3.6940,1.7776,1.7161,320.0,10.0000,4.7063,5.8978,0.2606
685,2541.0077,3.6429,1.8330,1.7717,320.0,10.0000,5.9376,5.8573,0.2670
686,2544.6868,3.6792,1.8569,1.7924,320.0,10.0000,0.9617,6.1585,0.2881
687,2548.3522,3.6653,1.8109,1.7435,320.0,10.0000,4.5681,6.4350,0.3052
688,2552.0090,3.6569,1.8362,1.7701,320.0,10.0000,2.7605,6.3111,0.3012
689,2555.7235,3.7145,1.7858,1.7230,320.0,10.0000,3.3150,5.9982,0.2815
690,2559.4152,3.6917,1.7951,1.7334,320.0,10.0000,5.3744,5.8918,0.2782
691,2563.1592,3.7440,1.7893,1.7246,320.0,10.0000,0.9399,6.1656,0.3006
692,2566.9978,3.8386,1.7836,1.7161,320.0,10.0000,4.0712,6.4359,0.3126
693,2570.6202,3.6224,1.8130,1.7474,320.0,10.0000,1.1334,6.2637,0.3041
694,2574.3007,3.6804,1.8433,1.7807,320.0,10.0000,4.7299,5.9755,0.2862
695,2577.9349,3.6342,1.8114,1.7476,320.0,10.0000,2.0657,6.0883,0.2910
696,2581.5911,3.6562,1.8437,1.7773,320.0,10.0000,3.2486,6.3374,0.3093
697,2585.2956,3.7045,1.8320,1.7657,320.0,10.0000,2.2819,6.3181,0.3094
698,2589.1223,3.8268,1.8193,1.7556,320.0,10.0000,2.8109,6.0761,0.2947
699,2592.8338,3.7115,1.8225,1.7583,320.0,10.0000,2.1631,6.1111,0.3020
700,2596.5485,3.7146,1.7953,1.7288,320.0,10.0000,1.9077,6.3243,0.3171
701,2600.2885,3.7400,1.8149,1.7485,320.0,10.0000,2.4997,6.3228,0.3151
